This code extract the p and q value of RSA encryption with the fault injection attack.


---------------------------------------------------------
Plain Text = [31, 114, 171, 18], Fault free Cipher = 837699226871133609126451393685668537


---------------------------------------------------------
offset:180, iteration:0, Signature:837699226871133609126451393685668537
offset:180, iteration:1, Signature:837699226871133609126451393685668537
offset:180, iteration:2, Signature:837699226871133609126451393685668537
offset:180, iteration:3, Signature:837699226871133609126451393685668537
offset:180, iteration:4, Signature:837699226871133609126451393685668537
offset:181, iteration:0, Signature:-1
offset:181, iteration:1, Signature:837699226871133609126451393685668537
offset:181, iteration:2, Signature:837699226871133609126451393685668537
offset:181, iteration:3, Signature:837699226871133609126451393685668537
offset:181, iteration:4, Signature:-1
offset:182, iteration:0, Signature:837699226871133609126451393685668537
offset:182, iteration:1, Signature:837699226871133609126451393685668537
offset:182, iteration:2, Signature:837699226871133609126451393685668537
offset:182, iteration:3, Signature:837699226871133609126451393685668537
offset:182, iteration:4, Signature:837699226871133609126451393685668537
offset:183, iteration:0, Signature:837699226871133609126451393685668537
offset:183, iteration:1, Signature:837699226871133609126451393685668537
offset:183, iteration:2, Signature:837699226871133609126451393685668537
offset:183, iteration:3, Signature:837699226871133609126451393685668537
offset:183, iteration:4, Signature:837699226871133609126451393685668537
offset:184, iteration:0, Signature:837699226871133609126451393685668537
offset:184, iteration:1, Signature:837699226871133609126451393685668537
offset:184, iteration:2, Signature:837699226871133609126451393685668537
offset:184, iteration:3, Signature:837699226871133609126451393685668537
offset:184, iteration:4, Signature:837699226871133609126451393685668537
offset:185, iteration:0, Signature:837699226871133609126451393685668537
offset:185, iteration:1, Signature:837699226871133609126451393685668537
offset:185, iteration:2, Signature:837699226871133609126451393685668537
offset:185, iteration:3, Signature:837699226871133609126451393685668537
offset:185, iteration:4, Signature:837699226871133609126451393685668537
offset:186, iteration:0, Signature:837699226871133609126451393685668537
offset:186, iteration:1, Signature:837699226871133609126451393685668537
offset:186, iteration:2, Signature:837699226871133609126451393685668537
offset:186, iteration:3, Signature:837699226871133609126451393685668537
offset:186, iteration:4, Signature:837699226871133609126451393685668537
offset:187, iteration:0, Signature:837699226871133609126451393685668537
offset:187, iteration:1, Signature:837699226871133609126451393685668537
offset:187, iteration:2, Signature:837699226871133609126451393685668537
offset:187, iteration:3, Signature:837699226871133609126451393685668537
offset:187, iteration:4, Signature:837699226871133609126451393685668537
offset:188, iteration:0, Signature:837699226871133609126451393685668537
offset:188, iteration:1, Signature:837699226871133609126451393685668537
